acc,Bamfordvirae,Fungi,Heunggongvirae,Loebvirae,Metazoa,Orthornavirae,Pararnavirae,Sangervirae,Shotokuvirae,Viridiplantae,class
SRR18588430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1
SRR18588462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
