acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Ignavibacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Nitrospira,Spirochaetia,Synergistia,class
SRR11807211,392.0,103.0,305.0,4560.0,0.0,0.0,34561.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807212,642.0,0.0,433.0,0.0,0.0,0.0,50496.0,1292.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807213,263.0,307.0,575.0,225.0,0.0,0.0,23561.0,1052.0,0.0,0.0,0.0,310.0,0.0,0.0,30941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807214,118.0,0.0,3118.0,146.0,0.0,0.0,31502.0,1361.0,0.0,0.0,0.0,824.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807215,347.0,0.0,745.0,32.0,0.0,0.0,24928.0,559.0,0.0,0.0,0.0,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807216,110.0,0.0,168.0,364.0,0.0,7.0,18391.0,3655.0,0.0,0.0,0.0,11.0,0.0,0.0,35537.0,0.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0,1
SRR11807217,336.0,233.0,292.0,173.0,0.0,0.0,15243.0,771.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807218,126.0,0.0,124.0,783.0,1.0,0.0,10284.0,3331.0,14.0,0.0,0.0,19.0,0.0,0.0,30154.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,1
SRR11807219,138.0,0.0,235.0,512.0,216.0,0.0,17634.0,4707.0,490.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,0.0,0.0,0.0,1
SRR11807220,167.0,0.0,217.0,57.0,0.0,0.0,18038.0,1883.0,0.0,0.0,0.0,28.0,0.0,0.0,41594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807221,540.0,0.0,319.0,94.0,0.0,1.0,19616.0,1660.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807222,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807223,1035.0,199.0,184.0,0.0,0.0,0.0,31536.0,1034.0,5.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807224,205.0,0.0,179.0,29114.0,0.0,0.0,5609.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807225,637.0,0.0,454.0,3995.0,0.0,0.0,26673.0,796.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807226,149.0,0.0,345.0,199.0,0.0,0.0,28325.0,1700.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807227,41.0,0.0,427.0,326.0,0.0,0.0,39711.0,3715.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807228,799.0,188.0,326.0,0.0,89.0,0.0,36561.0,1692.0,0.0,0.0,0.0,197.0,0.0,0.0,25532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807229,91.0,373.0,412.0,120.0,0.0,0.0,29127.0,2877.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807230,795.0,0.0,792.0,246.0,0.0,0.0,38765.0,2596.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807231,36.0,0.0,300.0,0.0,0.0,0.0,94913.0,5186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
