acc,Acidobacteriia,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Elusimicrobia,Epsilonproteobacteria,Erysipelotrichia,Eurotiomycetes,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Negativicutes,Spartobacteria,Spirochaetia,Synergistia,Tissierellia,class
SRR5796761,0.0,86.0,0.0,149.0,91.0,0.0,2382.0,65.0,0.0,2.0,1.0,4.0,0.0,2.0,75.0,0.0,2.0,0.0,518.0,0.0,8.0,8.0,1.0,0.0,9.0,8.0,1
SRR5796762,0.0,125.0,1.0,349.0,196.0,0.0,3300.0,217.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,281.0,0.0,3.0,12.0,1.0,0.0,3.0,38.0,1
SRR5796763,0.0,34.0,2.0,109.0,37.0,0.0,872.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,153.0,0.0,4.0,0.0,0.0,0.0,1.0,9.0,1
SRR5796764,0.0,92.0,4.0,122.0,66.0,0.0,5120.0,54.0,0.0,3.0,1.0,0.0,2.0,0.0,181.0,0.0,0.0,2.0,289.0,1.0,4.0,3.0,0.0,0.0,3.0,11.0,1
SRR5796765,0.0,382.0,0.0,699.0,40.0,0.0,4147.0,112.0,0.0,1.0,1.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,893.0,0.0,5.0,63.0,0.0,0.0,2.0,19.0,1
SRR5796766,0.0,45.0,6.0,48.0,159.0,0.0,3220.0,46.0,0.0,0.0,0.0,3.0,3.0,0.0,14.0,0.0,1.0,0.0,110.0,0.0,1.0,2.0,1.0,0.0,3.0,18.0,1
SRR5796767,0.0,285.0,0.0,414.0,328.0,1.0,4199.0,229.0,0.0,1.0,0.0,1.0,0.0,1.0,34.0,0.0,0.0,10.0,1.0,0.0,9.0,33.0,0.0,0.0,5.0,25.0,1
SRR5796768,0.0,77.0,1.0,358.0,248.0,0.0,6577.0,102.0,0.0,3.0,1.0,0.0,0.0,0.0,105.0,0.0,2.0,11.0,15.0,0.0,3.0,20.0,2.0,0.0,4.0,24.0,1
SRR5796769,0.0,101.0,1.0,171.0,51.0,0.0,2912.0,59.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,370.0,0.0,5.0,2.0,1.0,0.0,6.0,13.0,1
SRR5796770,0.0,105.0,1.0,250.0,195.0,0.0,1669.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,16.0,0.0,4.0,5.0,0.0,0.0,0.0,7.0,1
SRR5796771,0.0,492.0,0.0,626.0,74.0,0.0,3089.0,58.0,0.0,3.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,1.0,449.0,0.0,11.0,3.0,0.0,0.0,1.0,74.0,1
SRR5796772,0.0,619.0,0.0,93.0,602.0,1.0,1276.0,50.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,529.0,0.0,5.0,1272.0,0.0,0.0,1.0,18.0,1
SRR5796773,0.0,114.0,1.0,804.0,128.0,2.0,3109.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1178.0,0.0,6.0,69.0,1.0,0.0,0.0,29.0,1
