acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Chlamydiia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Spirochaetia,class
SRR12162624,0.0,0.0,0.0,4.0,0.0,0.0,0.0,130.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162625,0.0,0.0,30.0,472.0,0.0,0.0,0.0,324.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162626,0.0,0.0,0.0,180.0,0.0,0.0,0.0,147.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162628,0.0,0.0,43.0,0.0,0.0,0.0,0.0,39.0,8.0,26.0,0.0,0.0,1.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162630,0.0,0.0,0.0,2.0,0.0,0.0,0.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,882.0,1
SRR12162631,0.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2735.0,0.0,0.0,258.0,1
SRR12162632,0.0,0.0,14.0,169.0,0.0,0.0,0.0,1729.0,0.0,0.0,0.0,0.0,8.0,0.0,21.0,73.0,0.0,89.0,0.0,0.0,0.0,0
SRR12162633,0.0,0.0,4.0,7.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162634,0.0,0.0,25.0,56.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,65.0,0.0,44.0,0.0,0.0,0.0,0
SRR12162635,0.0,0.0,35.0,7.0,0.0,0.0,0.0,378.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,6387.0,0.0,0.0,0.0,1
SRR12162639,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,268.0,0.0,0.0,0.0,0
SRR12162642,0.0,0.0,0.0,31.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1
SRR12162643,0.0,8.0,18.0,18.0,0.0,0.0,0.0,1859.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,53.0,0.0,0.0,0.0,1
SRR12162644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,1
SRR12162645,0.0,0.0,0.0,2.0,0.0,0.0,0.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,182.0,0.0,0.0,0.0,1
SRR12162646,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,1
SRR12162650,0.0,0.0,90.0,516.0,0.0,0.0,0.0,817.0,37.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,509.0,0.0,0.0,0.0,1
SRR12162651,20.0,0.0,44.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162652,0.0,0.0,0.0,4.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1
SRR12162653,0.0,0.0,43.0,2.0,0.0,0.0,0.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,246.0,0.0,0.0,0.0,1
SRR12162655,0.0,0.0,78.0,61.0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162658,0.0,0.0,24.0,131.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.0,0.0,0.0,0.0,1
SRR12162659,0.0,0.0,41.0,74.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,489.0,0.0,0.0,1.0,1
SRR12162660,14.0,0.0,0.0,171.0,15.0,0.0,0.0,1354.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,3062.0,0.0,0.0,0.0,1
SRR12162661,0.0,0.0,29.0,21.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,265.0,0.0,0.0,0.0,1
SRR12162662,0.0,0.0,7.0,2.0,0.0,0.0,0.0,292.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162663,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,240.0,0.0,0.0,0.0,1
