acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9017.0,1.0,0.0,0.0,0.0,51726.0,0.0,0.0,0.0,0.0,1
SRR11807205,0.0,0.0,901.0,0.0,0.0,0.0,0.0,1925.0,2565.0,0.0,0.0,0.0,9228.0,0.0,0.0,0.0,0.0,1
SRR11807206,57.0,0.0,583.0,0.0,0.0,0.0,0.0,26505.0,1338.0,0.0,0.0,0.0,37896.0,0.0,0.0,0.0,0.0,1
SRR11807207,14232.0,0.0,2.0,0.0,0.0,0.0,0.0,173698.0,0.0,0.0,0.0,0.0,27596.0,0.0,0.0,0.0,0.0,1
SRR11807208,8222.0,0.0,0.0,0.0,0.0,0.0,0.0,106861.0,0.0,0.0,0.0,0.0,21635.0,0.0,0.0,0.0,0.0,1
SRR11807209,9994.0,0.0,37.0,0.0,0.0,0.0,0.0,62431.0,0.0,0.0,0.0,0.0,49837.0,0.0,0.0,0.0,0.0,1
SRR11807210,1034.0,0.0,11.0,0.0,0.0,0.0,0.0,89048.0,0.0,0.0,0.0,0.0,59611.0,0.0,0.0,0.0,0.0,1
SRR11807211,1307.0,0.0,4577.0,0.0,0.0,0.0,0.0,44119.0,0.0,0.0,0.0,0.0,5494.0,0.0,0.0,0.0,0.0,1
SRR11807212,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,69008.0,0.0,0.0,0.0,0.0,10001.0,0.0,0.0,0.0,0.0,1
SRR11807213,1321.0,0.0,229.0,0.0,0.0,0.0,0.0,38520.0,0.0,0.0,0.0,0.0,43762.0,0.0,0.0,0.0,0.0,1
SRR11807214,1484.0,0.0,150.0,0.0,0.0,0.0,0.0,43756.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807215,913.0,0.0,37.0,0.0,0.0,0.0,0.0,39750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807216,3766.0,2.0,382.0,0.0,0.0,0.0,5150.0,27903.0,0.0,0.0,0.0,0.0,54877.0,0.0,0.0,0.0,0.0,1
SRR11807217,1110.0,0.0,181.0,0.0,0.0,0.0,0.0,26961.0,0.0,0.0,0.0,0.0,9262.0,0.0,0.0,0.0,0.0,1
SRR11807218,3468.0,0.0,814.0,0.0,0.0,0.0,1803.0,26563.0,0.0,0.0,0.0,0.0,41513.0,0.0,0.0,0.0,0.0,1
SRR11807219,4850.0,0.0,1010.0,0.0,1.0,0.0,17422.0,29366.0,0.0,0.0,0.0,0.0,16270.0,0.0,0.0,0.0,0.0,1
SRR11807220,2194.0,0.0,60.0,0.0,0.0,0.0,0.0,29326.0,0.0,0.0,0.0,0.0,49927.0,0.0,0.0,0.0,0.0,1
SRR11807221,2302.0,0.0,96.0,0.0,0.0,0.0,3.0,46631.0,0.0,0.0,0.0,1.0,10278.0,0.0,0.0,0.0,0.0,1
SRR11807222,4.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807223,2076.0,0.0,13.0,0.0,0.0,0.0,0.0,36157.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,1
SRR11807224,373.0,0.0,29148.0,0.0,0.0,0.0,0.0,11461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807225,1442.0,0.0,4001.0,0.0,0.0,0.0,0.0,37598.0,0.0,0.0,0.0,0.0,11683.0,0.0,0.0,0.0,0.0,1
