acc,Acidobacteriia,Actinomycetia,Alphaproteobacteria,Anaerolineae,Aquificae,Bacilli,Bacteroidia,Balneolia,Betaproteobacteria,Blastocatellia,Chitinophagia,Chlamydiia,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cytophagia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Lentisphaeria,Methanobacteria,Methanomicrobia,Mollicutes,Negativicutes,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Planctomycetia,Rubrobacteria,Saprospiria,Sphingobacteriia,Spirochaetia,Synergistia,Thermodesulfobacteria,Thermoleophilia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,class
SRR17641773,0.0,6.0,0.0,0.0,0.0,5.0,621.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18076.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641774,0.0,95.0,2.0,0.0,0.0,228.0,24339.0,0.0,2091.0,0.0,0.0,0.0,0.0,0.0,5857.0,74.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,282.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641775,0.0,995.0,33.0,0.0,0.0,327.0,567.0,0.0,43.0,0.0,63.0,0.0,0.0,0.0,14323.0,738.0,0.0,0.0,0.0,1.0,7.0,488.0,0.0,3.0,1287.0,0.0,2.0,9.0,0.0,3884.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR17641776,0.0,7.0,1.0,0.0,0.0,9.0,37377.0,0.0,3045.0,0.0,11.0,0.0,0.0,0.0,3122.0,23.0,0.0,0.0,0.0,2.0,2.0,24.0,0.0,0.0,82.0,0.0,0.0,2.0,0.0,560.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR17641777,0.0,8.0,1.0,0.0,0.0,19.0,32399.0,0.0,38.0,0.0,43.0,0.0,0.0,0.0,3620.0,17.0,1.0,0.0,0.0,0.0,4.0,72.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,58.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1
SRR17641778,0.0,20.0,1.0,0.0,0.0,98.0,21609.0,0.0,368.0,0.0,40.0,0.0,0.0,0.0,5461.0,68.0,0.0,0.0,0.0,120.0,2.0,24.0,0.0,0.0,110.0,0.0,40.0,1.0,0.0,858.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
SRR17641779,0.0,619.0,1.0,0.0,0.0,29.0,15711.0,0.0,653.0,0.0,0.0,0.0,0.0,0.0,3988.0,304.0,0.0,0.0,0.0,606.0,0.0,764.0,0.0,0.0,115.0,5.0,2.0,0.0,190.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641780,0.0,106.0,7.0,0.0,0.0,415.0,10725.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12018.0,60.0,1.0,0.0,0.0,0.0,1.0,415.0,0.0,0.0,379.0,0.0,0.0,0.0,557.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1
SRR17641781,0.0,1680.0,3.0,0.0,0.0,3.0,14052.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,4568.0,239.0,0.0,0.0,0.0,80.0,0.0,22.0,0.0,0.0,802.0,1.0,36.0,0.0,2047.0,503.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,1
SRR17641782,0.0,170.0,1.0,0.0,0.0,430.0,5654.0,0.0,859.0,0.0,0.0,0.0,0.0,0.0,6994.0,874.0,0.0,0.0,0.0,358.0,0.0,439.0,0.0,231.0,893.0,3.0,2.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
